"TIEMPO" "VIRUS" "CULTIVO" "GRADOS"
"1" 1 117.452413511841 "acido" 1.20561573577492
"2" 2 118.820443028012 "acido" 1.36684287661114
"3" 3 100.340289863003 "acido" 0.929029999097708
"4" 4 82.8567424527682 "acido" 0.874334144703425
"5" 5 110.382924847742 "acido" 1.12872381829162
"6" 6 97.92535428356 "acido" 1.11596391242255
"7" 7 84.2726245012174 "acido" 0.750959428634534
"8" 8 93.7126291319226 "acido" 1.03292302541385
"9" 9 98.7336371940465 "acido" 0.921552680534215
"10" 10 98.0748755565245 "acido" 0.984453709876497
"11" 11 111.208086149908 "acido" 1.24329217808462
"12" 12 99.6727123116259 "acido" 1.04615052566409
"13" 13 100.368697807832 "acido" 1.20434730217500
"14" 14 95.593486175951 "acido" 0.903843906978933
"15" 15 98.6244234787167 "acido" 1.08456990455264
"16" 16 110.201599290316 "acido" 1.11694574048464
"17" 17 99.8236714460637 "acido" 0.903033356525686
"18" 18 96.8848199984019 "acido" 0.884639037987177
"19" 19 120.561345530231 "acido" 1.03424507094104
"20" 20 104.888390613072 "acido" 0.915689626460002
"21" 21 101.085217387429 "acido" 1.01126245881444
"22" 22 113.051802568610 "acido" 1.38746578149970
"23" 23 105.194156972637 "acido" 1.10468925444355
"24" 24 123.535878130443 "acido" 1.25314075567968
"25" 25 111.875461010481 "acido" 1.09516633717562
"26" 26 103.983748625555 "acido" 1.03447512644865
"27" 27 108.013727853909 "acido" 1.11148592720642
"28" 28 107.841901834154 "acido" 1.05229187662744
"29" 29 119.960852711114 "acido" 1.25408960430535
"30" 30 124.075555887001 "acido" 1.24332571096646
"31" 31 112.194766009225 "acido" 0.955048610810174
"32" 32 132.917833217587 "acido" 1.30212278851475
"33" 33 118.555874198787 "acido" 1.03719375699871
"34" 34 129.819237030494 "acido" 1.26428559757220
"35" 35 116.598147776640 "acido" 1.11374065306700
"36" 3 91.4833910932663 "acido" 1.03279370831502
"37" 37 124.044902435934 "acido" 1.24133792407310
"38" 38 132.629976731536 "acido" 1.20666125279663
"39" 39 147.186966661959 "acido" 1.45322756741791
"40" 40 164.676785248904 "acido" 1.44234685677676
"41" 41 154.073793800060 "acido" 1.43985631377880
"42" 42 166.872410427547 "acido" 1.65901760335780
"43" 43 185.328426245067 "acido" 1.86252934071634
"44" 44 178.772534548032 "acido" 1.79859192936409
"45" 45 187.414163680626 "acido" 2.09291133018089
"46" 46 184.715699680859 "acido" 1.7925828231197
"47" 47 217.404515792044 "acido" 2.22993344713362
"48" 48 234.730371294141 "acido" 2.21201758442044
"49" 49 233.326426095758 "acido" 2.49147091455255
"50" 50 234.178423136848 "acido" 2.41142235845702
"51" 1 64.0712366104126 "basico" 0.231735037565231
"52" 10 75.5946307182312 "basico" 0.296371772289276
"53" 11 113.943329215050 "basico" 0.539339287877083
"54" 12 123.04394865036 "basico" 0.504215402603149
"55" 13 122.672785043716 "basico" 0.633745910823345
"56" 14 119.094177782536 "basico" 0.705344124138355
"57" 15 108.299028754234 "basico" 0.541677820994519
"58" 16 116.495484471321 "basico" 0.427941103577614
"59" 17 147.959076404572 "basico" 0.60053867816925
